99980 Enzymes with EC numbers
K00046 idnO; gluconate 5-dehydrogenase [EC:1.1.1.69]
99981 Carbohydrate metabolism
K06206 sfsA; sugar fermentation stimulation protein A
K08696 ccmK; carbon dioxide concentrating mechanism protein CcmK
K08697 ccmL; carbon dioxide concentrating mechanism protein CcmL
K08698 ccmM; carbon dioxide concentrating mechanism protein CcmM
K08699 ccmN; carbon dioxide concentrating mechanism protein CcmN
K08700 ccmO; carbon dioxide concentrating mechanism protein CcmO
K11184 chr, crh; catabolite repression HPr-like protein
K06605 iolH; myo-inositol catabolism protein IolH
K11930 torT; periplasmic protein TorT
K04767 acuB; acetoin utilization protein AcuB
K04768 acuC; acetoin utilization protein AcuC
K17641 bxlA; beta-xylosidase
K18928 lldE; L-lactate dehydrogenase complex protein LldE
K18929 lldF; L-lactate dehydrogenase complex protein LldF
K00782 lldG; L-lactate dehydrogenase complex protein LldG
K19504 gfrE; glucoselysine-6-phosphate deglycase
K19510 gfrF; fructoselysine-6-phosphate deglycase
K20628 exlX; expansin
K22111 nanS; 9-O-acetyl-N-acetylneuraminic acid deacetylase
K22136 bshC; bacillithiol synthase
K22216 ilvD1; dehydratase ilvD1
K22217 K22217; sugar lactone lactonase
K22475 adhS; alcohol dehydrogenase (quinone) subunit AdhS
K24113 PCL6_7; PHO85 cyclin-6/7
K24114 PCL8_10; PHO85 cyclin-8/10
K26060 gtd2; glucoside 3-dehydrogenase (cytochrome c) hitch-hiker subunit
K27264 pduG; propanediol dehydratase-reactivating factor large subunit
K27265 pduH; propanediol dehydratase-reactivating factor small subunit
99982 Energy metabolism
K19824 fprB; rubrerythrin
K13955 yogA; zinc-binding alcohol dehydrogenase/oxidoreductase
K02379 fdhD; FdhD protein
K02381 fdrA; FdrA protein
K04755 fdx; ferredoxin, 2Fe-2S
K05337 fer; ferredoxin
K05524 fdxA; ferredoxin
K11107 yfaE; ferredoxin
K03612 rnfG; H+/Na+-translocating ferredoxin:NAD+ oxidoreductase subunit G
K03613 rnfE; H+/Na+-translocating ferredoxin:NAD+ oxidoreductase subunit E
K03617 rnfA; H+/Na+-translocating ferredoxin:NAD+ oxidoreductase subunit A
K05796 hydN; electron transport protein HydN
K06205 mioC; MioC protein
K07554 ATPeF0S, ATP5S; ATP synthase, H+ transporting, mitochondrial F0 complex, subunit s
K03840 fldB; flavodoxin II
K12143 hyfH; hydrogenase-4 component H
K13300 cccA; cytochrome c550
K12263 cccB; cytochrome c551
K04488 iscU, nifU; nitrogen fixation protein NifU and related proteins
K13819 K13819; NifU-like protein
K15790 nifQ; nitrogen fixation protein NifQ
K14518 pipX; PII interaction protein X
K13795 citB, tcuB; citrate/tricarballylate utilization protein
K13796 cobZ, tcuA; tricarballylate dehydrogenase
K15536 cybC; soluble cytochrome b562
K15827 hycB; formate hydrogenlyase subunit 2
K15828 hycC; formate hydrogenlyase subunit 3
K15829 hycD; formate hydrogenlyase subunit 4
K15830 hycE; formate hydrogenlyase subunit 5
K15831 hycF; formate hydrogenlyase subunit 6
K15832 hycG; formate hydrogenlyase subunit 7
K02448 norD; nitric oxide reductase NorD protein
K02164 norE; nitric oxide reductase NorE protein
K04747 norF; nitric oxide reductase NorF protein
K04748 norQ; nitric oxide reductase NorQ protein
K12264 norV; anaerobic nitric oxide reductase flavorubredoxin
K02570 napD; periplasmic nitrate reductase NapD
K02572 napF; ferredoxin-type protein NapF
K02571 napE; periplasmic nitrate reductase NapE
K02596 nifX; nitrogen fixation protein NifX
K02593 nifT; nitrogen fixation protein NifT
K02597 nifZ; nitrogen fixation protein NifZ
K02585 nifB; nitrogen fixation protein NifB
K02592 nifN; nitrogenase molybdenum-iron protein NifN
K02587 nifE; nitrogenase molybdenum-cofactor synthesis protein NifE
K22903 vnfE; nitrogenase vanadium-cofactor synthesis protein VnfE
K04016 nrfE; cytochrome c-type biogenesis protein NrfE
K04017 nrfF; formate-dependent nitrite reductase complex subunit NrfF
K04018 nrfG; formate-dependent nitrite reductase complex subunit NrfG
K16933 doxB; heme bearing subunit I of the terminal oxidase
K16934 doxC; terminal oxidase subunit
K16935 doxE; terminal oxidase small hydrophobic subunit
K16885 qmoA; quinone-modifying oxidoreductase, subunit QmoA
K16886 qmoB; quinone-modifying oxidoreductase, subunit QmoB
K16887 qmoC; quinone-modifying oxidoreductase, subunit QmoC
K03839 fldA, nifF, isiB; flavodoxin I
K14086 echA; ech hydrogenase subunit A
K14087 echB; ech hydrogenase subunit B
K14088 echC; ech hydrogenase subunit C
K14089 echD; ech hydrogenase subunit D
K14090 echE; ech hydrogenase subunit E
K14091 echF; ech hydrogenase subunit F
K14092 ehaA; energy-converting hydrogenase A subunit A
K14093 ehaB; energy-converting hydrogenase A subunit B
K14094 ehaC; energy-converting hydrogenase A subunit C
K14095 ehaD; energy-converting hydrogenase A subunit D
K14096 ehaE; energy-converting hydrogenase A subunit E
K14097 ehaF; energy-converting hydrogenase A subunit F
K14098 ehaG; energy-converting hydrogenase A subunit G
K14099 ehaH; energy-converting hydrogenase A subunit H
K14100 ehaI; energy-converting hydrogenase A subunit I
K14101 ehaJ; energy-converting hydrogenase A subunit J
K14102 ehaK; energy-converting hydrogenase A subunit K
K14103 ehaL; energy-converting hydrogenase A subunit L
K14104 ehaM; energy-converting hydrogenase A subunit M
K14105 ehaN; energy-converting hydrogenase A subunit N
K14106 ehaO; energy-converting hydrogenase A subunit O
K14107 ehaP; energy-converting hydrogenase A subunit P
K14108 ehaQ; energy-converting hydrogenase A subunit Q
K14109 ehaR; energy-converting hydrogenase A subunit R
K14110 ehbA; energy-converting hydrogenase B subunit A
K14111 ehbB; energy-converting hydrogenase B subunit B
K14112 ehbC; energy-converting hydrogenase B subunit C
K14113 ehbD; energy-converting hydrogenase B subunit D
K14114 ehbE; energy-converting hydrogenase B subunit E
K14115 ehbF; energy-converting hydrogenase B subunit F
K14116 ehbG; energy-converting hydrogenase B subunit G
K14117 ehbH; energy-converting hydrogenase B subunit H
K14118 ehbI; energy-converting hydrogenase B subunit I
K14119 ehbJ; energy-converting hydrogenase B subunit J
K14120 ehbK; energy-converting hydrogenase B subunit K
K14121 ehbL; energy-converting hydrogenase B subunit L
K14122 ehbM; energy-converting hydrogenase B subunit M
K14123 ehbN; energy-converting hydrogenase B subunit N
K14124 ehbO; energy-converting hydrogenase B subunit O
K14125 ehbP; energy-converting hydrogenase B subunit P
K06862 ehbQ; energy-converting hydrogenase B subunit Q
K15878 K15878, narB; rieske iron-sulfur protein
K15879 narC; cytochrome b-561
K02569 napC; cytochrome c-type protein NapC
K02573 napG; ferredoxin-type protein NapG
K02574 napH; ferredoxin-type protein NapH
K03521 fixA, etfB; electron transfer flavoprotein beta subunit
K03855 fixX; ferredoxin like protein
K02595 nifW; nitrogenase-stabilizing/protective protein
K04013 nrfB; cytochrome c-type protein NrfB
K04014 nrfC; protein NrfC
K04015 nrfD; protein NrfD
K18683 rus; rusticyanin
K00947 mosAB; molybdenum storage protein
K19344 nirC; cytochrome c55X
K19345 nirF; protein NirF
K21694 cowN; N(2)-fixation sustaining protein CowN
K21739 rclA; probable pyridine nucleotide-disulfide oxidoreductase
K23077 dsrC; dissimilatory sulfite reductase related protein
K09165 K09165; dodecin
K23275 fdhC; fructose 5-dehydrogenase cytochrome subunit
K23490 CYB5; cytochrome b5
K24004 stc4, hpbC; stachydrine N-demethylase, reductase component
K24005 stc3; stachydrine N-demethylase, flavoprotein component
K24619 mauC; amicyanin
99983 Lipid metabolism
K09456 aidB; putative acyl-CoA dehydrogenase
K22722 CSG2; inositol phosphorylceramide mannosyltransferase regulatory subunit
K22724 KEI1; inositol phosphorylceramide synthase regulatory subunit
K16815 PNPLA8; calcium-independent phospholipase A2-gamma
K11729 ACAD10; acyl-CoA dehydrogenase family member 10
K11730 ACAD11; acyl-CoA dehydrogenase family member 11
K15355 K15355; malonyl CoA-acyl carrier protein transacylase
K16227 gplH; glycopeptidolipid biosynthesis protein
K16228 mps1; glycopeptidolipid biosynthesis protein
K16229 mps2; glycopeptidolipid biosynthesis protein
K16861 PLD5; inactive phospholipase D5
K19365 BSCL2; seipin
K19581 LPPR1_2_5; lipid phosphate phosphatase-related protein type 1/2/5
K19582 LPPR3_4; lipid phosphate phosphatase-related protein type 3/4
K21830 pchP; phosphorylcholine phosphatase
K22282 FAXDC2; fatty acid hydroxylase domain-containing protein 2
K22618 olsE; ornithine lipid hydroxylase
K25232 fakB; fatty acid kinase fatty acid binding subunit
K26591 pcaA, umaA2; cyclopropane mycolic acid synthase PcaA
K26592 mmaA4, hma; hydroxy mycolic acid synthase MmaA4
K26593 mmaA3; methoxy mycolic acid synthase MmaA3
K26595 mmaA2; cyclopropane mycolic acid synthase MmaA2
K26596 cmaA2; cyclopropane mycolic acid synthase CmaA2
K26597 cmaA1; cyclopropane mycolic acid synthase CmaA1
K26600 TLCD3; TLC domain-containing protein 3
K27095 accE5; propionyl-/long chain acyl-CoA carboxylase epsilon subunit
99984 Nucleotide metabolism
K03647 nrdI; protein involved in ribonucleotide reduction
K15049 ENDOD1; endonuclease domain-containing 1 protein
K15051 endA; DNA-entry nuclease
K24196 PRTFDC1; phosphoribosyltransferase domain-containing protein 1
99985 Amino acid metabolism
K10795 prdD; D-proline reductase (dithiol)-stabilizing protein PrdD
K10796 prdE; D-proline reductase (dithiol)-stabilizing protein PrdE
K06203 cysZ; CysZ protein
K04023 eutH; ethanolamine transporter
K04024 eutJ; ethanolamine utilization protein EutJ
K04025 eutK; ethanolamine utilization protein EutK
K04026 eutL; ethanolamine utilization protein EutL
K04027 eutM; ethanolamine utilization protein EutM
K04028 eutN; ethanolamine utilization protein EutN
K04029 eutP; ethanolamine utilization protein EutP
K04030 eutQ; ethanolamine utilization protein EutQ
K04031 eutS; ethanolamine utilization protein EutS
K08234 yaeR; glyoxylase I family protein
K11325 K11325; L-cysteine/cystine lyase
K05806 leuL; leu operon leader peptide
K14054 mpaA; murein peptide amidase A
K16613 OAZ2; ornithine decarboxylase antizyme 2
K18802 DUG3; glutamine amidotransferase
K06997 yggS, PROSC; PLP dependent protein
K19625 RLBP1; retinaldehyde-binding protein 1
K21700 bauB; beta-alanine degradation protein BauB
K22366 SELENOT; thioredoxin reductase-like selenoprotein T
K22479 argA; N-acetyltransferase
K26607 cyuA; putative L-cysteine desulfidase
99983 Lipid metabolism
K09456 aidB; putative acyl-CoA dehydrogenase
K22722 CSG2; inositol phosphorylceramide mannosyltransferase regulatory subunit
K22724 KEI1; inositol phosphorylceramide synthase regulatory subunit
K16815 PNPLA8; calcium-independent phospholipase A2-gamma
K11729 ACAD10; acyl-CoA dehydrogenase family member 10
K11730 ACAD11; acyl-CoA dehydrogenase family member 11
K15355 K15355; malonyl CoA-acyl carrier protein transacylase
K16227 gplH; glycopeptidolipid biosynthesis protein
K16228 mps1; glycopeptidolipid biosynthesis protein
K16229 mps2; glycopeptidolipid biosynthesis protein
K16861 PLD5; inactive phospholipase D5
K19365 BSCL2; seipin
K19581 LPPR1_2_5; lipid phosphate phosphatase-related protein type 1/2/5
K19582 LPPR3_4; lipid phosphate phosphatase-related protein type 3/4
K21830 pchP; phosphorylcholine phosphatase
K22282 FAXDC2; fatty acid hydroxylase domain-containing protein 2
K22618 olsE; ornithine lipid hydroxylase
K25232 fakB; fatty acid kinase fatty acid binding subunit
K26591 pcaA, umaA2; cyclopropane mycolic acid synthase PcaA
K26592 mmaA4, hma; hydroxy mycolic acid synthase MmaA4
K26593 mmaA3; methoxy mycolic acid synthase MmaA3
K26595 mmaA2; cyclopropane mycolic acid synthase MmaA2
K26596 cmaA2; cyclopropane mycolic acid synthase CmaA2
K26597 cmaA1; cyclopropane mycolic acid synthase CmaA1
K26600 TLCD3; TLC domain-containing protein 3
K27095 accE5; propionyl-/long chain acyl-CoA carboxylase epsilon subunit
99984 Nucleotide metabolism
K03647 nrdI; protein involved in ribonucleotide reduction
K15049 ENDOD1; endonuclease domain-containing 1 protein
K15051 endA; DNA-entry nuclease
K24196 PRTFDC1; phosphoribosyltransferase domain-containing protein 1
99985 Amino acid metabolism
K10795 prdD; D-proline reductase (dithiol)-stabilizing protein PrdD
K10796 prdE; D-proline reductase (dithiol)-stabilizing protein PrdE
K06203 cysZ; CysZ protein
K04023 eutH; ethanolamine transporter
K04024 eutJ; ethanolamine utilization protein EutJ
K04025 eutK; ethanolamine utilization protein EutK
K04026 eutL; ethanolamine utilization protein EutL
K04027 eutM; ethanolamine utilization protein EutM
K04028 eutN; ethanolamine utilization protein EutN
K04029 eutP; ethanolamine utilization protein EutP
K04030 eutQ; ethanolamine utilization protein EutQ
K04031 eutS; ethanolamine utilization protein EutS
K08234 yaeR; glyoxylase I family protein
K11325 K11325; L-cysteine/cystine lyase
K05806 leuL; leu operon leader peptide
K14054 mpaA; murein peptide amidase A
K16613 OAZ2; ornithine decarboxylase antizyme 2
K18802 DUG3; glutamine amidotransferase
K06997 yggS, PROSC; PLP dependent protein
K19625 RLBP1; retinaldehyde-binding protein 1
K21700 bauB; beta-alanine degradation protein BauB
K22366 SELENOT; thioredoxin reductase-like selenoprotein T
K22479 argA; N-acetyltransferase
K26607 cyuA; putative L-cysteine desulfidase
99986 Glycan metabolism
K19421 epsC; polysaccharide biosynthesis protein EpsC
K12547 plyA; polysaccharidase protein
K13620 wcaD; putative colanic acid polymerase
K16561 exoI; succinoglycan biosynthesis protein ExoI
K16565 exoX, syrA; exopolysaccharide production regulatory protein
K16567 exoQ; exopolysaccharide production protein ExoQ
K16705 tuaE; teichuronic acid biosynthesis protein TuaE
K16706 tuaF; teichuronic acid biosynthesis protein TuaF
K16708 amsC; amylovoran biosynthesis protein AmsC
K16709 amsF; amylovoran biosynthesis protein AmsF
K16711 wcaM; colanic acid biosynthesis protein WcaM
K19292 algK; alginate biosynthesis protein AlgK
K08992 lapA; lipopolysaccharide assembly protein A
K19804 lapB; lipopolysaccharide assembly protein B
K21462 icaC; probable poly-beta-1,6-N-acetyl-D-glucosamine export protein
K21687 rpfA; resuscitation-promoting factor RpfA
K21688 rpfB; resuscitation-promoting factor RpfB
K21689 rpfC; resuscitation-promoting factor RpfC
K21690 rpfD; resuscitation-promoting factor RpfD
K21691 rpfE; resuscitation-promoting factor RpfE
K22914 tviA; Vi polysaccharide biosynthesis protein TviA
K22915 tviD; Vi polysaccharide biosynthesis protein TviD
K22916 tviE, vipC; Vi polysaccharide biosynthesis protein TviE
K07027 K07027; glycosyltransferase 2 family protein
K07270 K07270; glycosyl transferase, family 25
K20541 bcsB; cellulose synthase operon protein B
K22907 ppgS; polyprenyl-phospho-N-acetylgalactosaminyl synthase
K23877 AXY4, AXY4L; xyloglucan O-acetyltransferase
K24698 mftF; mycofactocin glycosyltransferase
K01449 cwlJ; cell wall hydrolase
99987 Cofactor metabolism
K02173 yggC; putative kinase
K02234 cobW; cobalamin biosynthesis protein CobW
K02498 hemY; HemY protein
K24868 nirJ; heme d1 biosynthesis protein
K02859 ribT; riboflavin biosynthesis RibT protein
K03688 ubiB, aarF; ubiquinone biosynthesis protein
K03690 ubiJ; ubiquinone biosynthesis accessory factor UbiJ
K09806 ubiK; ubiquinone biosynthesis accessory factor UbiK
K24843 ubiT; O2-independent ubiquinone biosynthesis accessory factor UbiT
K03753 mobB; molybdopterin-guanine dinucleotide biosynthesis adapter protein
K06049 bchO; magnesium chelatase accessory protein
K13580 K13580; magnesium chelatase subunit ChlD-like protein
K12942 abgT; aminobenzoyl-glutamate transport protein
K12258 GC; vitamin D-binding protein
K18586 COQ4; ubiquinone biosynthesis protein COQ4
K18587 COQ9; ubiquinone biosynthesis protein COQ9
K18588 COQ10; coenzyme Q-binding protein COQ10
K24265 PANK4; bifunctional damage-control phosphatase, subfamily II, fusion protein
K24455 TTPA; alpha-tocopherol transfer protein
K24694 mftA; mycofactocin precursor peptide MftA
K24695 mftB; mycofactocin biosynthesis protein MftB
K26006 MMADHC; cobalamin trafficking protein CblD
K27271 pduS; cobalamin reductase
99988 Secondary metabolism
K21824 K21824; oplophorus-luciferin 2-monooxygenase non-catalytic subunit
K21324 mdpK; tert-butyl alcohol monooxygenase/tert-amyl alcohol desaturase reductase
K21446 TENA; tenellin biosynthesis cytochrome P450 monooxygenase
K21296 TENB; tenellin biosynthesis cytochrome P450 monooxygenase
K21447 AZAI; azaphilone biosynthesis cytochrome P450 monooxygenase
K21448 AFVE; aflavarin biosynthesis cytochrome P450 monooxygenase
K21476 LEPD; leporin biosynthesis cytochrome P450 monooxygenase
K03932 lpqC; polyhydroxybutyrate depolymerase
K04753 sufI; suppressor of ftsI
K05558 K05558; pyridoxamine 5'-phosphate oxidase family protein
K11047 cylX; CylX protein
K11048 cylD; CylD protein
K11049 cylG; CylG protein
K11053 cylF; CylF protein
K11054 cylI; CylI protein
K11055 cylJ; CylJ protein
K11056 cylK; CylK protein
K12706 novC; novobiocin biosynthesis protein NovC
K18004 pqsL; HQNO biosynthesis monooxygenase PqsL
K18535 thnA; putative oxidoreductase
K18536 thnD; putative oxidoreductase
K18537 thnK; putative methyltransferase
K18538 thnN; thienamycin biosynthesis protein ThnN
K18539 thnO; thienamycin biosynthesis protein ThnO
K19784 chrR, NQR; chromate reductase, NAD(P)H dehydrogenase (quinone)
K22148 SIDC; ferricrocin synthase
K22149 SIDI; mevalonyl-CoA ligase
K22150 SIDH; mevalonyl-CoA hydratase
K22151 SIDF; N5-hydroxy-L-ornithine N5-transacylase
K22152 SIDD; fusarinine C synthase
K22153 SIDG; fusarinine C N2-transacetylase
K22714 pltB_C; polyketide synthase
K22729 HELC; helvolic acid biosynthesis dehydrogenase/reductase
K22730 HELD1; helvolic acid biosynthesis C6-acyltransferase
K22731 HELD2; helvolic acid biosynthesis cytochrome C16-acyltransferase
K22732 HELE; helvolic acid biosynthesis 3-ketosteroid Delta1-dehydrogenase
K22739 CHYA; 2-(2-aminopropanamido)benzoic acid synthetase
K22740 PSOD; pseurotin biosynthesis cytochrome P450 monooxygenase
K22742 PSOE; pseurotin biosynthesis glutathione S-transferase
K22743 PSOF; pseurotin biosynthesis epoxidase/methyltransferase
K22895 cruH; renierapurpurin 18,18'-hydroxylase
K23376 sbnG; staphyloferrin B biosynthesis citrate synthase
K23634 ASAA; ankyrin-repeat domain containg transcription coregulator AsaA
K24084 aidA; quorum-quenching protein AidA
K24913 ramS, amfS; lanthionine-containing peptide SapB
K24914 ramC, amfT; probable SapB synthase
99999 Others
K18064 ACR2; arsenical-resistance protein 2
K21831 choE; cholinesterase
K22390 ACP7; acid phosphatase type 7
K15975 K15975; glyoxalase family protein
K15977 K15977; putative oxidoreductase
K06999 K06999; phospholipase/carboxylesterase
K09181 yfiQ; acetyltransferase
K24410 tfuA; TfuA protein
K25263 hpfH; (2S)-3-sulfopropanediol dehydratase activating enzyme
K25265 hpsH; (2S)-3-sulfopropanediol sulfolyase activating enzyme
K26958 brxA_B; bacilliredoxin
K26959 brxC; monothiol bacilliredoxin
99996 General function prediction only
K02442 glpM; membrane protein GlpM
K03558 cvpA; membrane protein required for colicin V production
K03791 K03791; putative chitinase
K03796 bax; Bax protein
K06192 pqiB; paraquat-inducible protein B
K03810 mviM; virulence factor
K02348 elaA; ElaA protein
K05811 yfiM; putative lipoprotein
K06197 chaB; cation transport regulator
K06198 coiA; competence protein CoiA
K02617 paaY; phenylacetic acid degradation protein
K04065 osmY; hyperosmotically inducible periplasmic protein
K04477 ycdX; putative hydrolase
K06135 pqqA; pyrroloquinoline quinone biosynthesis protein A
K06136 pqqB; pyrroloquinoline quinone biosynthesis protein B
K06138 pqqD; pyrroloquinoline quinone biosynthesis protein D
K06865 K06865; ATPase
K06866 grcA; autonomous glycyl radical cofactor
K06874 K06874; zinc finger protein
K06877 K06877; DEAD/DEAH box helicase domain-containing protein
K06878 K06878; tRNA-binding protein
K06886 glbN; hemoglobin
K06994 K06994; putative drug exporter of the RND superfamily
K07001 K07001; NTE family protein
K07025 K07025; putative hydrolase of the HAD superfamily
K15724 erpA; iron-sulfur cluster insertion protein
K05997 sufA; Fe-S cluster assembly protein SufA
K09014 sufB; Fe-S cluster assembly protein SufB
K09015 sufD; Fe-S cluster assembly protein SufD
K07038 K07038; inner membrane protein
K07048 PTER, php; phosphotriesterase-related protein
K07049 K07049; TatD-related deoxyribonuclease
K07058 K07058; membrane protein
K07081 K07081; putative periplasmic solute-binding protein
K07083 K07083; putative periplasmic solute-binding protein
K07100 K07100; putative phosphoribosyl transferase
K07113 fxsA; UPF0716 protein FxsA
K02426 sufE; cysteine desulfuration protein SufE
K07143 K07143; UPF0148 protein
K07146 K07146; UPF0176 protein
K07153 hflD; high frequency lysogenization protein
K08279 caiE; carnitine operon protein CaiE
K04750 phnB; PhnB protein
K11477 glcG; glc operon protein GlcG
K11739 nfrA; bacteriophage N4 adsorption protein A
K11740 nfrB; bacteriophage N4 adsorption protein B
K11777 K11777; HAD superfamily phosphatase
K11811 arsH; arsenical resistance protein ArsH
K12147 msyB; acidic protein MsyB
K13255 fhuF; ferric iron reductase protein FhuF
K13696 ABHD1_3; abhydrolase domain-containing protein 1/3
K13707 ABHD15; abhydrolase domain-containing protein 15
K13918 gudX; glucarate dehydratase-related protein
K15640 K15640, phoE; uncharacterized phosphatase
K19556 spvA; salmonella plasmid virulence protein A
K02351 K02351; putative membrane protein
K02862 ctaG; putative membrane protein
K02715 psbN; PsbN protein
K03744 lemA; LemA protein
K03745 slyX; SlyX protein
K03747 smg; Smg protein
K05805 creA; CreA protein
K02742 sprT; SprT protein
K03095 sprL; SprT-like protein
K03749 dedD; DedD protein
K03112 damX; DamX protein
K03933 cpbD; chitin-binding protein
K03748 sanA; SanA protein
K03975 dedA; membrane-associated protein
K03808 pqiA; paraquat-inducible protein A
K05594 elaB; ElaB protein
K01421 yhgE; putative membrane protein
K00389 yidH; putative membrane protein
K08971 K08971; putative membrane protein
K08972 K08972; putative membrane protein
K08974 K08974; putative membrane protein
K08975 K08975; putative membrane protein
K08976 K08976; putative membrane protein
K08979 K08979; putative membrane protein
K08980 K08980; putative membrane protein
K08981 K08981; putative membrane protein
K08982 K08982; putative membrane protein
K08983 K08983; putative membrane protein
K08984 yjdF; putative membrane protein
K08985 K08985; putative lipoprotein
K08986 ycgQ; putative membrane protein
K08987 K08987; putative membrane protein
K08988 K08988; putative membrane protein
K08989 K08989; putative membrane protein
K08990 ycjF; putative membrane protein
K08993 yhhL; putative membrane protein
K08995 K08995; putative membrane protein
K08996 yagU; putative membrane protein
K09858 K09858; SEC-C motif domain protein
K09914 K09914; putative lipoprotein
K11312 K11312; cupin 2 domain-containing protein
K03618 hyaF; hydrogenase-1 operon protein HyaF
K03619 hyaE; hydrogenase-1 operon protein HyaE
K05775 malM; maltose operon periplasmic protein
K13256 psiE; protein PsiE
K14591 aroM; protein AroM
K06193 phnA; protein PhnA
K21740 rclB; reactive chlorine resistance protein B
K21741 rclC; reactive chlorine resistance protein C
K22195 TMEM196; transmembrane protein 196
K22196 TMEM212; transmembrane protein 212
K22147 PJVK, DFNB59; pejvakin
K22700 ZCCHC2; Zinc finger CCHC domain-containing protein 2
K24554 KIAA0825; protein KIAA0825
K24870 TMEM240; transmembrane protein 240
99997 Function unknown
K06860 K06860; putative heme uptake system protein
K06867 K06867; uncharacterized protein
K06869 K06869; uncharacterized protein
K06870 K06870; uncharacterized protein
K06871 K06871; uncharacterized protein
K06872 K06872; uncharacterized protein
K06873 K06873; uncharacterized protein
K06882 K06882; uncharacterized protein
K06883 K06883; uncharacterized protein
K06884 K06884; uncharacterized protein
K06885 K06885; uncharacterized protein
K06887 K06887; uncharacterized protein
K06888 K06888; uncharacterized protein
K06889 K06889; uncharacterized protein
K06890 K06890; uncharacterized protein
K06893 K06893; uncharacterized protein
K06903 W; Bacteriophage baseplate protein W
K06905 D; Bacteriophage probable baseplate hub protein
K06906 gpU; phage tail protein
K06907 FI; Bacteriophage tail sheath protein
K06908 FII; Bacteriophage tail tube protein
K06913 K06913; uncharacterized protein
K06918 K06918; uncharacterized protein
K06921 K06921; uncharacterized protein
K06922 K06922; uncharacterized protein
K06923 K06923; uncharacterized protein
K06924 K06924; uncharacterized protein
K06926 K06926; uncharacterized protein
K06929 K06929; uncharacterized protein
K06931 K06931; uncharacterized protein
K06933 K06933; uncharacterized protein
K06934 K06934; uncharacterized protein
K06935 K06935; uncharacterized protein
K06938 K06938; uncharacterized protein
K06939 K06939; uncharacterized protein
K06940 K06940; uncharacterized protein
K06945 K06945; uncharacterized protein
K06946 K06946; uncharacterized protein
K06950 K06950; uncharacterized protein
K06951 K06951; uncharacterized protein
K06953 K06953; uncharacterized protein
K06954 K06954; uncharacterized protein
K06956 K06956; uncharacterized protein
K06960 K06960; uncharacterized protein
K06962 K06962; uncharacterized protein
K06964 K06964; uncharacterized protein
K06971 K06971; uncharacterized protein
K06973 K06973; uncharacterized protein
K06975 K06975; uncharacterized protein
K06976 K06976; uncharacterized protein
K06977 K06977; uncharacterized protein
K06978 K06978; uncharacterized protein
K06983 K06983; uncharacterized protein
K06986 K06986; uncharacterized protein
K06987 K06987; uncharacterized protein
K06991 K06991; uncharacterized protein
K06992 K06992; uncharacterized protein
K06995 K06995; uncharacterized protein
K06996 K06996; uncharacterized protein
K07000 K07000; uncharacterized protein
K07003 K07003; uncharacterized protein
K07004 K07004; uncharacterized protein
K07005 K07005; uncharacterized protein
K07006 K07006; uncharacterized protein
K07013 K07013; uncharacterized protein
K07014 K07014; uncharacterized protein
K07017 K07017; uncharacterized protein
K07018 K07018; uncharacterized protein
K07019 K07019; uncharacterized protein
K07020 K07020; uncharacterized protein
K07022 K07022; uncharacterized protein
K07028 K07028; uncharacterized protein
K07032 K07032; uncharacterized protein
K07033 K07033; uncharacterized protein
K07034 K07034; uncharacterized protein
K07035 K07035; uncharacterized protein
K07039 K07039; uncharacterized protein
K07041 K07041; uncharacterized protein
K07044 K07044; uncharacterized protein
K07045 K07045; uncharacterized protein
K07051 K07051; uncharacterized protein
K07054 K07054; uncharacterized protein
K07063 K07063; uncharacterized protein
K07064 K07064; uncharacterized protein
K07065 K07065; uncharacterized protein
K07066 K07066; uncharacterized protein
K07068 K07068; uncharacterized protein
K07069 K07069; uncharacterized protein
K07070 K07070; uncharacterized protein
K07071 K07071; uncharacterized protein
K07073 K07073; uncharacterized protein
K07074 K07074; uncharacterized protein
K07075 K07075; uncharacterized protein
K07076 K07076; uncharacterized protein
K07077 K07077; uncharacterized protein
K07078 K07078; uncharacterized protein
K07079 K07079; uncharacterized protein
K07080 K07080; uncharacterized protein
K07086 K07086; uncharacterized protein
K07087 K07087; uncharacterized protein
K07089 K07089; uncharacterized protein
K07090 K07090; uncharacterized protein
K07092 K07092; uncharacterized protein
K07093 K07093; uncharacterized protein
K07095 K07095; uncharacterized protein
K07096 K07096; uncharacterized protein
K07097 K07097; uncharacterized protein
K07098 K07098; uncharacterized protein
K07099 K07099; uncharacterized protein
K07101 K07101; uncharacterized protein
K07103 K07103; uncharacterized protein
K07105 K07105; uncharacterized protein
K07108 K07108; uncharacterized protein
K07109 K07109; uncharacterized protein
K07111 K07111; uncharacterized protein
K07112 K07112; uncharacterized protein
K07117 K07117; uncharacterized protein
K07118 K07118; uncharacterized protein
K07120 K07120; uncharacterized protein
K07121 K07121; uncharacterized protein
K07123 K07123; uncharacterized protein
K07124 K07124; uncharacterized protein
K07125 K07125; uncharacterized protein
K07126 K07126; uncharacterized protein
K07128 K07128; uncharacterized protein
K07129 K07129; uncharacterized protein
K07131 K07131; uncharacterized protein
K07133 K07133; uncharacterized protein
K07134 K07134; uncharacterized protein
K07135 K07135; uncharacterized protein
K07136 K07136; uncharacterized protein
K07137 K07137; uncharacterized protein
K07138 K07138; uncharacterized protein
K07139 K07139; uncharacterized protein
K07140 K07140; uncharacterized protein
